scorer,full_name,similarity,token_compare
José Manuel Moreno,José Manuel Jurado Marín,0.714285714,TRUE
Elías Hernández,Elías Hernán Hernández Jacuinde,0.652173913,TRUE
Daniel Ruiz,Daniel Ginczek,0.72,FALSE
Luis Martínez,Lucas Pérez Martínez,0.727272727,TRUE
Jefferson Farfán,Jefferson Agustín Farfán Guadalupe,0.64,TRUE
Ansi Agolli,Asmir Begovic,0.583333333,FALSE
Dominique da Silva,Vitorino Hilton da Silva,0.619047619,TRUE
Juan Bautista Agüero,Julian Baumgartlinger,0.634146341,FALSE
Francisco Molina,Esteban Félix Granero Molina,0.545454545,FALSE
Zlatko Junuzović,Zlatko Junuzovic,0.9375,FALSE
Victor Moses,Victor Moses,1,TRUE
Mathieu Dossevi,Mathieu Debuchy,0.666666667,FALSE
Guillermo Albornoz,Guillermo Alfonso Maripán Loaysa,0.64,FALSE
César Martín,Iván Cuéllar Sacristán,0.529411765,FALSE
Fabian Johnson,Fabian Johnson,1,TRUE
Alexandre Martínez Palau,Aarón Martín Caricol,0.590909091,FALSE
Gastón Pereiro,Gastón Rodrigo Pereiro López,0.666666667,TRUE
Benjamin Moukandjo,Benjamin Moukandjo Bilé,0.87804878,TRUE
Martin Harnik,Martin Harnik,1,TRUE
James Ward-Prowse,James  Ward-Prowse,0.971428571,TRUE
Alessandro Diamanti,Romain Alessandrini,0.631578947,FALSE
Pedro Alejandro García,Manuel Alejandro García Sánchez,0.679245283,TRUE
Michail Antonio,Michail Antonio,1,TRUE
Sebastian Mila,Adrien Sebastian Perruchet Silva,0.565217391,FALSE
Steve Morrow,Steve Cook,0.727272727,FALSE
Bent Jensen,Ben Mee,0.666666667,FALSE
Adriano Leite Ribeiro,Adriano Correia Claro,0.619047619,FALSE
Jeremain Lens,Jeremain Lens,1,TRUE
Salomón Rondón,José Salomón Rondón Giménez,0.682926829,TRUE
Andreas Heraf,Andreas Hugo Hoelgebaum Pereira,0.545454545,FALSE
Vedad Ibišević,Vedad Ibiševic,0.928571429,FALSE
Lucas Barrios,Lucas Ocampos,0.692307692,FALSE
Nicolas Vallar,Nicolai Müller,0.714285714,FALSE
Silvio Marzolini,Simão Alvin Acunha Bardini,0.523809524,FALSE
Jonathan Walters,Jonathan Calleri,0.8125,FALSE
Alireza Jahanbakhsh,Alireza Jahanbakhsh,1,TRUE
Aleksandar Prijović,Aleksandar Prijovic,0.947368421,FALSE
Francisco Ramírez,Fabricio Martín Agosto Ramírez,0.595744681,FALSE
Mohamed Elneny,Mohamed Elneny,1,TRUE
José Pérez,Jorge Meré Pérez,0.692307692,FALSE
No Match,Wilson Bruno Naval Costa Eduardo,0.488888889,FALSE
Alejandro Romero Gamarra,Alejandro Remiro Gargallo,0.734693878,FALSE
Teófilo Gutiérrez,Teófilo Gutiérrez,1,TRUE
Andriy Bal,Andriy Pyatov,0.695652174,FALSE
Diego Simeone,Diego Javier Llorente Ríos,0.564102564,FALSE
Ignacio Ambríz,Ignazio Abate,0.666666667,FALSE
Thomas Vermaelen,Thomas Vermaelen,1,TRUE
Niclas Füllkrug,Niclas Füllkrug,1,TRUE
Pedro Zingone,Pedro  Mba Obiang Avomo,0.555555556,FALSE
Gilberto dos Santos,Wallace Fortuna dos Santos,0.666666667,TRUE
Arlindo Gomes Semedo,Jorge Djaniny  Tavares Semedo,0.530612245,FALSE
Alberto Jiménez,Roberto Jiménez Gago,0.742857143,FALSE
Serdar Aziz,Serdar Tasçi,0.695652174,FALSE
Lasse Schøne,Lasse Schøne,1,TRUE
Jermain Defoe,Jermain  Defoe,0.962962963,TRUE
Volkan Şen,Volkan Babacan,0.666666667,FALSE
Odion Ighalo,Odion Jude Ighalo,0.827586207,TRUE
André Schürrle,André Schürrle,1,TRUE
Ellyes Skhiri,Ellyes Skhiri,1,TRUE
Waldemar Victorino,Waldemar Anton,0.75,FALSE
Rodrigo Palacio,Rodrigo Sebastián Palacio,0.75,TRUE
Kevin Lafrance,Kevin Lasagna,0.740740741,FALSE
Darío Franco,Darío Cvitanich,0.666666667,FALSE
