,scorer,full_name,similarity
272,Salomón Rondón,José Salomón Rondón Giménez,0.6829268292682927
273,Andreas Heraf,Andreas Hugo Hoelgebaum Pereira,0.5454545454545454
274,Vedad Ibišević,Vedad Ibiševic,0.9285714285714286
275,Lucas Barrios,Lucas Ocampos,0.6923076923076923
276,Nicolas Vallar,Nicolai Müller,0.7142857142857143
277,Silvio Marzolini,Simão Alvin Acunha Bardini,0.5238095238095238
278,Jonathan Walters,Jonathan Calleri,0.8125
279,Alireza Jahanbakhsh,Alireza Jahanbakhsh,1.0
280,Aleksandar Prijović,Aleksandar Prijovic,0.9473684210526315
281,Francisco Ramírez,Fabricio Martín Agosto Ramírez,0.5957446808510638
282,Mohamed Elneny,Mohamed Elneny,1.0
283,José Pérez,Jorge Meré Pérez,0.6923076923076923
284,No Match,Wilson Bruno Naval Costa Eduardo,0.4888888888888889
285,Alejandro Romero Gamarra,Alejandro Remiro Gargallo,0.7346938775510204
286,Teófilo Gutiérrez,Teófilo Gutiérrez,1.0
287,Andriy Bal,Andriy Pyatov,0.6956521739130435
288,Diego Simeone,Diego Javier Llorente Ríos,0.5641025641025641
289,Ignacio Ambríz,Ignazio Abate,0.6666666666666666
290,Thomas Vermaelen,Thomas Vermaelen,1.0
291,Niclas Füllkrug,Niclas Füllkrug,1.0
292,Pedro Zingone,Pedro  Mba Obiang Avomo,0.5555555555555556
293,Gilberto dos Santos,Wallace Fortuna dos Santos,0.6666666666666666
294,Arlindo Gomes Semedo,Jorge Djaniny  Tavares Semedo,0.5306122448979592
295,Alberto Jiménez,Roberto Jiménez Gago,0.7428571428571429
296,Serdar Aziz,Serdar Tasçi,0.6956521739130435
297,Lasse Schøne,Lasse Schøne,1.0
298,Jermain Defoe,Jermain  Defoe,0.9629629629629629
299,Volkan Şen,Volkan Babacan,0.6666666666666666
300,Odion Ighalo,Odion Jude Ighalo,0.8275862068965517
301,André Schürrle,André Schürrle,1.0
302,Ellyes Skhiri,Ellyes Skhiri,1.0
303,Waldemar Victorino,Waldemar Anton,0.75
304,Rodrigo Palacio,Rodrigo Sebastián Palacio,0.75
305,Kevin Lafrance,Kevin Lasagna,0.7407407407407407
306,Darío Franco,Darío Cvitanich,0.6666666666666666
307,Sebastian Mila,Sebastian De Maio,0.7741935483870968
308,Shimon Gershon,Simon Terodde,0.6666666666666666
309,Julian de Guzman,Jonathan  de Guzmán,0.6857142857142857
310,Roberto Rivellino,Renato Civelli,0.7096774193548387
311,Paulo Madeira,Pablo Maffeo Becerra,0.6060606060606061
312,Cédric Soares,Cédric Ricardo Alves Soares,0.65
313,Kyriakos Papadopoulos,Kyriakos Papadopoulos,1.0
314,Alexander Satariano,Alexander Szymanowski,0.7
315,Juraj Kucka,Juraj Kucka,1.0
316,Phil Jagielka,Phil Jagielka,1.0
317,Marc Bernaus,Marco Benassi,0.8
318,Jonatan Johansson,Pontus Jansson,0.7096774193548387
319,Geraldo José da Silva,Bernardo José Espinosa Zúñiga,0.6
320,José Pedro Fuenzalida,José Pedro Malheiro de Sá,0.6521739130434783
321,Mats Hummels,Matz Sels,0.6666666666666666
322,Aziz Behich,Yuri Berchiche Izeta,0.5161290322580645
323,Rafael Santana,Rafael Santos Borré,0.6666666666666666
324,Juli Fernandez,João Paulo Dias Fernandes,0.6666666666666666
325,Christian Panucci,Cristiano Piccini,0.7647058823529411
326,Benjamin Totori,Benjamin André,0.6896551724137931
327,Ricard Fernández,Antonio Barragán Fernández,0.6190476190476191
328,Mbwana Samatta,Mbwana Ally Samatta,0.8484848484848485
329,Yatma Diop,Issa Diop,0.631578947368421
330,Matthew Booth,Matthew Lowton,0.7407407407407407
331,Carlos Hernández,Theo Bernard François Hernández,0.5957446808510638
332,Juan Carreño López,Juan Pedro Ramírez López,0.6666666666666666
333,Kennedy Mweene,Kenny Tete,0.6666666666666666
334,Blerim Džemaili,Blerim Džemaili,1.0
335,Andrés Andrade,André Filipe Brás André,0.5945945945945946
336,Mike Havenaar,Mikel Balenziaga Oruesagasti,0.5365853658536586
337,Valon Behrami,Valon Behrami,1.0
338,Diego Antonio Reyes,Diego Antonio Reyes Rosales,0.8260869565217391
339,Francisco Calvo,Caiuby Francisco da Silva,0.65
340,Seydou Doumbia,Seydou Doumbia,1.0
341,João Félix,João Félix Sequeira,0.6896551724137931
343,Claudio Suárez,Mario Suárez Mata,0.6451612903225806
344,Jonas Svensson,Jonas Lössl,0.64
345,Gonzalo Castañeda,Gonzalo Castro Randon,0.7368421052631579
346,David Phillips,Matt Phillips,0.7407407407407407
347,Gabriel Achilier,Gabriel Boschilia,0.7878787878787878
348,No Match,??,0.0
349,Nicolás Otamendi,Nicolás Blandi,0.8
350,Hossein Kalani,Lovre Kalinic,0.5925925925925926
351,Pedro Fernández,Federico Fernández,0.8484848484848485
352,Jackson Martínez,Jackson Martínez,1.0
353,Gonzalo de los Santos,Emerson Palmieri dos Santos,0.625
354,No Match,Rômulo  Souza Orestes Caldeira,0.4827586206896552
355,Christian Benteke,Christian Benteke Liolo,0.85
356,Milot Rashica,Milot Rashica,1.0
357,Leighton Baines,Leighton Baines,1.0
358,Mark Bowen,Mark Noble,0.7
359,Filip Ivanovski,Filip Benkovic,0.6896551724137931
360,Cristian Riveros,Cristian Miguel Riveros Núñez,0.7111111111111111
361,M'Baye Niang,M'Baye Babacar Niang,0.75
362,David Watson,Davide Santon,0.8
363,Ivan Obradović,Ivan Ordets,0.64
364,Francisco Valdés,Francisco Geraldes,0.8235294117647058
365,Robert Snodgrass,Robert Snodgrass,1.0
366,Aluísio Francisco da Luz,Vitor Hugo Franchescoli de Souza,0.5714285714285714
367,Mario Pašalić,Mario Pašalic,0.9230769230769231
368,Fabio Francini,Fabio Borini,0.7692307692307693
369,Nikola Vukčević,Nikola Vukcevic,0.8666666666666667
370,Atiba Hutchinson,Atiba Hutchinson,1.0
371,Maximilian Göppel,Maximiliano Nicol Moralez,0.5714285714285714
372,Charlie Fleming,Charlie Austin,0.6896551724137931
373,Robert Lewandowski,Robert Kenedy Nunes do Nascimento,0.5098039215686274
374,No Match,Eltildo Lucas Correia Pitta,0.5
375,João Carlos dos Santos,João Pedro Geraldino dos Santos Galvão,0.6333333333333333
376,Alessandro Diamanti,Alessandro Diamanti,1.0
377,Guillermo Torres,Guilherme dos Santos Torres,0.6976744186046512
378,Jérémy Ménez,Jérémy Morel,0.75
379,Fernando Llorente,Fernando Javier Llorente Torres,0.7083333333333334
380,Gökhan Gönül,Gökhan Gönül,1.0
381,Alberto Valencia,Alberto Paloschi,0.75
382,Heleno de Freitas,Julio Leonardo Dourado de Freitas,0.56
383,Pablo Herrera Barrantes,Markel Bergara Larrañaga,0.5106382978723404
384,Lee Dong-gyeong,Lee Nguyen,0.64
385,Anthony Rougier,Anthony Knockaert,0.6875
386,Igor Korneev,Iñigo Córdoba Kerejeta,0.5294117647058824
387,Leonel Vielma,Joël Veltman,0.64
388,Nicola Nanni,Nicola Sansone,0.7692307692307693
389,Arda Turan,Arda Turan,1.0
390,Haris Seferovic,Haris Seferovic,1.0
391,Rafael Arlex Castillo,Rafael Jorgino Cachoira Rebelo,0.5490196078431373
392,Amadou Haidara,Amadou Haidara,1.0
393,Francisco Calvo,Francesco Caputo,0.7741935483870968
394,Manuel Locatelli,Manuel Locatelli,1.0
395,Jordan Ayew,Jordan Ayew,1.0
396,Jin Jingdao,Tin Jedvaj,0.5714285714285714
397,Sofiane Hanni,Sofiane Hanni,1.0
398,Abelardo Fernández,Andrés Eduardo Fernández Moreno,0.6122448979591837
399,Thomas Sowunmi,Thomas Monconduit,0.6451612903225806
400,Youri Mulder,Nordi Mukiele,0.64
401,Dominique Fred,Dominique Heintz,0.7333333333333333
402,Jenílson Ângelo de Souza,Uílson de Souza Paula Júnior,0.5384615384615384
403,Aaron Long,Aaron  Lennon,0.782608695652174
404,Neco Williams,Jetro Willems,0.6923076923076923
405,Miloš Milutinović,Miloš Veljkovic,0.625
406,Ishmael Wadi,Ishak Belfodil,0.6153846153846154
407,Hugo Almeida,Hugo Miguel Almeida Costa Lopes,0.5581395348837209
408,Niall Reid-Stephen,Dale Stephens,0.6451612903225806
409,Mario Méndez,Brais Méndez Portela,0.5625
410,Alan Smith,Adam Smith,0.8
411,José Luis Veloso,José Luis García del Pozo,0.6829268292682927
412,Francisco Fonseca,Francisco Femenía Far,0.6842105263157895
413,Mijat Gaćinović,Mijat Gacinovic,0.8666666666666667
414,Peter Van Der Heyden,Per Ciljan Skjelbred,0.55
415,Dionisio Fernandes,Da Conceição Fernando Henrique,0.5833333333333334
416,Scott Brown,Scott Brown,1.0
417,Mario Frick,Marko Grujic,0.6956521739130435
418,Adama Traoré,Adama Soumaoro,0.6923076923076923
419,Alfonso Rodríguez Salas,Raúl Rodríguez Navas,0.6976744186046512
420,Ádám Szalai,Ádám Szalai,1.0
421,Banou Diawara,Amadou Diawara,0.8148148148148148
422,Lukas Podolski,Lukasz Skorupski,0.6666666666666666
423,Roman Zozulya,Romain Hamouma,0.6666666666666666
424,Tevin Slater,Kevin Stöger,0.75
425,Karol Linetty,Karol Linetty,1.0
426,Stefano Fanelli,Stefan Bell,0.7692307692307693
427,Oumar N'Diaye,Alfred John Momar N'Diaye,0.5789473684210527
428,Yusuf Yazıcı,Yusuf Yazici,0.8333333333333334
429,Sebastian Mila,Bastian Oczipka,0.6206896551724138
430,Federico Valverde,Federico Valverde,1.0
431,Ermen Benítez,Martín Benítez,0.7407407407407407
432,Michael Groom,Michel Vorm,0.75
433,Djamel Menad,Nampalys Mendy,0.6153846153846154
434,José Manuel Velázquez,José Juan Vázquez Gómez,0.6818181818181818
435,Raúl Núñez Velloso,Unai Núñez Gestoso,0.6666666666666666
436,Nemanja Radonjić,Nemanja Radoja,0.8666666666666667
437,Kieran Trippier,Kieran  Gibbs,0.5714285714285714
438,Abderrazak Hamdallah,Abderrazak Hamdallah,1.0
439,Jonathan dos Santos,Pablo Renan dos Santos,0.7317073170731707
440,Sor Rotana,Seko Fofana,0.6666666666666666
441,Leônidas da Silva,Felipe Dias da Silva dal Belo,0.5652173913043478
442,Carlos Villanueva,Carlos Andrés Villanueva Roland,0.7083333333333334
443,Dino da Costa,José Márcio da Costa,0.6666666666666666
444,Sergio Salgado,Diego Rico Salguero,0.6060606060606061
445,Humberto Moreno,Alberto Moreno Pérez,0.6857142857142857
446,Jordy Caicedo,Jordy Clasie,0.8
447,Rogelio Funes Mori,Rogelio Gabriel Funes Mori,0.8181818181818182
448,Osvaldo Balseiro,Osvaldo Alonso Moreno,0.6486486486486487
449,Alexander Djiku,Alexander Djiku,1.0
450,Jonathan Sogbie,Jonathan Hogg,0.7857142857142857
451,Dominic Calvert-Lewin,Dominic Calvert-Lewin,1.0
452,Martin Ødegaard,Marvin Zeegelaar,0.7096774193548387
453,André Carrillo,Guido Carrillo,0.7142857142857143
454,Jhoan Sánchez,Jozabed Sánchez Ruiz,0.6666666666666666
455,Javier Fragoso,Alan Javier Franco,0.6875
