,Unnamed: 0,scorer,full_name,similarity,fn_tokens,pl_tokens,token_compare
16180,17256,Filip Ivanovski,Filip Krovinovic,0.7096774193548387,"['Filip', 'Krovinovic']","['Filip', 'Ivanovski']",False
16181,17257,Aleksei Miranchuk,Aleksey Miranchuk,0.9411764705882352,"['Aleksey', 'Miranchuk']","['Aleksei', 'Miranchuk']",True
16182,17258,Ragnar Klavan,Ragnar Klavan,1.0,"['Ragnar', 'Klavan']","['Ragnar', 'Klavan']",True
16183,17259,Timothy Castagne,Timothy Chandler,0.75,"['Timothy', 'Chandler']","['Timothy', 'Castagne']",False
16184,17260,Denys Harmash,Denys Garmash,0.9230769230769232,"['Denys', 'Garmash']","['Denys', 'Harmash']",False
16185,17261,Papakouli Diop,Papa Kouly Diop,0.8275862068965517,"['Papa', 'Kouly', 'Diop']","['Papakouli', 'Diop']",False
16186,17262,Ramón Heredia,Ramón Ábila,0.6666666666666666,"['Ramón', 'Ábila']","['Ramón', 'Heredia']",False
16187,17263,Andrei Karpovich,Andrija Živkovic,0.625,"['Andrija', 'Živkovic']","['Andrei', 'Karpovich']",False
16188,17264,Emanuele Giaccherini,Emanuele Giaccherini,1.0,"['Emanuele', 'Giaccherini']","['Emanuele', 'Giaccherini']",True
16189,17265,Andrea Belotti,Andrea Bertolacci,0.7096774193548387,"['Andrea', 'Bertolacci']","['Andrea', 'Belotti']",False
16190,17266,Altin Lala,Albin Ekdal,0.6666666666666666,"['Albin', 'Ekdal']","['Altin', 'Lala']",False
16191,17267,Klaas-Jan Huntelaar,Klaas-Jan Huntelaar,1.0,"['Klaas-Jan', 'Huntelaar']","['Klaas-Jan', 'Huntelaar']",True
16192,17268,Adrián Romero,Adrián Ricardo Centurión,0.5945945945945946,"['Adrián', 'Ricardo', 'Centurión']","['Adrián', 'Romero']",False
16193,17269,Damián Ariel Álvarez,Damián Nicolás Suárez Suárez,0.5416666666666666,"['Damián', 'Nicolás', 'Suárez', 'Suárez']","['Damián', 'Ariel', 'Álvarez']",False
16194,17270,Vicente Sánchez,Víctor Sánchez Mata,0.6470588235294118,"['Víctor', 'Sánchez', 'Mata']","['Vicente', 'Sánchez']",False
16195,17271,Luis Carlos Perea,Luís Carlos Novo Neto,0.631578947368421,"['Luís', 'Carlos', 'Novo', 'Neto']","['Luis', 'Carlos', 'Perea']",False
16196,17272,Santiago Ostolaza,Santiago Lionel Ascacíbar,0.5714285714285714,"['Santiago', 'Lionel', 'Ascacíbar']","['Santiago', 'Ostolaza']",False
16197,17273,Jorge Valdivia,Jorge Luís Valdivia Toro,0.7368421052631579,"['Jorge', 'Luís', 'Valdivia', 'Toro']","['Jorge', 'Valdivia']",True
16198,17274,Bakhit Alabadla,Anaitz Arbilla Zabala,0.6111111111111112,"['Anaitz', 'Arbilla', 'Zabala']","['Bakhit', 'Alabadla']",False
16199,17275,Stephan Lichtsteiner,Stephan Lichtsteiner,1.0,"['Stephan', 'Lichtsteiner']","['Stephan', 'Lichtsteiner']",True
16200,17276,Guilherme Afonso,Juan Guilherme Nunes Jesus,0.5714285714285714,"['Juan', 'Guilherme', 'Nunes', 'Jesus']","['Guilherme', 'Afonso']",False
16201,17277,Angelo Martina,Angelo Obinze Ogbonna,0.5714285714285714,"['Angelo', 'Obinze', 'Ogbonna']","['Angelo', 'Martina']",False
16202,17278,Vladimír Darida,Vladimír Darida,1.0,"['Vladimír', 'Darida']","['Vladimír', 'Darida']",True
16203,17279,Marians Pahars,Marvin Plattenhardt,0.6666666666666666,"['Marvin', 'Plattenhardt']","['Marians', 'Pahars']",False
16204,17280,Pascual Somma,Pascal Groß,0.6666666666666666,"['Pascal', 'Groß']","['Pascual', 'Somma']",False
16205,17281,Oscar Santis,Oscar Wendt,0.6956521739130435,"['Oscar', 'Wendt']","['Oscar', 'Santis']",False
16206,17282,Jonatan Johansson,Jonatan Soriano Casas,0.6842105263157895,"['Jonatan', 'Soriano', 'Casas']","['Jonatan', 'Johansson']",False
16207,17283,Remo Freuler,Remo Freuler,1.0,"['Remo', 'Freuler']","['Remo', 'Freuler']",True
16208,17284,Isidro Gutiérrez,Gérson Adriano Gutierres Serra,0.5217391304347826,"['Gérson', 'Adriano', 'Gutierres', 'Serra']","['Isidro', 'Gutiérrez']",False
16209,17285,Pablo Paz,Pablo Pérez,0.8,"['Pablo', 'Pérez']","['Pablo', 'Paz']",False
16210,17286,Derlis Soto,Lewis Cook,0.5714285714285714,"['Lewis', 'Cook']","['Derlis', 'Soto']",False
16211,17287,Marcos Bermeo,Mario Hermoso Canseco,0.5882352941176471,"['Mario', 'Hermoso', 'Canseco']","['Marcos', 'Bermeo']",False
16212,17288,Garry Rodrigues,Garry Mendes Rodrigues,0.8108108108108109,"['Garry', 'Mendes', 'Rodrigues']","['Garry', 'Rodrigues']",True
16213,17289,Pedro González Vera,Bruno González Cabrera,0.7317073170731707,"['Bruno', 'González', 'Cabrera']","['Pedro', 'González', 'Vera']",False
16214,17290,Danny Welbeck,Daniel Nii Tackie Mensah Welbeck,0.5333333333333333,"['Daniel', 'Nii', 'Tackie', 'Mensah', 'Welbeck']","['Danny', 'Welbeck']",False
16215,17291,Emre Aşık,Emre Akbaba,0.7,"['Emre', 'Akbaba']","['Emre', 'Aşık']",False
16216,17292,Mario Martínez,Javier Fuego Martínez,0.6857142857142857,"['Javier', 'Fuego', 'Martínez']","['Mario', 'Martínez']",False
